Organization,Description,TargetIndustry,Governance,BusinessSupportType,Website,StreetAddress,Unit,City,Province,PostalCode,Title,ContactLastName,ContactFirstName,Telephone,Email
Futurpreneur,"Are you an aspiring young entrepreneur, aged 18 to 39, with a solid business idea? Are you looking for the financial support and expert advice that will help you bring your great business idea to life? Futurpreneur Canada can help.; ; We offer entrepreneurs four fully integrated services that are built around the ‘life cycle’ of a young entrepreneur, helping to ensure the success of every new start-up.; ; - Pre-launch expertise – learn how to build your business plan, overcome challenges and grow your venture through our Entrepreneurs-in-Residence and network of community partners.; ; - Online Business Resources – use our free tools, templates, articles and crash courses, like our Business Plan Writer, to help you with business planning.; ; - Financing – find the best financing option for you whether you are an emerging entrepreneur, a new Canadian or an existing young business owner. Futurpreneur Canada provides access to up to $15,000 in start-up financing and up to $30,000 in additional financing through our unique partnership with the Business Development Bank of Canada.; ; - Industry-leading mentoring – benefit from the extensive experience of a business professional who will work with you for up to two years to ensure you have support during the critical start-up phase.",Mixed,Not-for-profit,Incubator,http://www.futurpreneur.ca,133 Richmond St. W.,Suite 700,Toronto,Ontario,M5H 2L3,CEO,Julia,Deans,,jdeans@futurpreneur.ca
George Brown College - Digital Media and Gaming Incubator,"The Digital Media and Gaming Incubator is located at 341 King Street East and is part of the School of Design at George Brown College.  The Incubator supports the city’s digital sectors by providing affordable space, business and professional services, technology and human resources. The incubator shares space with the School of Design’s digital programs, occupying 2,000 square feet on the sixth floor.; ; The Incubator is more than a physical location, it allows for focused and quiet work, formal and informal exchanges while also providing space that encourages exploration and unexpected discoveries.; ; ","Information, Communications and Technology",Academia,Incubator,http://www.gaminginc.ca,333 King Street East  ,,Toronto,Ontario,M5A 1K3,"Director, School of Design ",Luigi,Ferrara,,lferrara@georgebrown.ca
Gizmo Labs,"A Toronto Coworking Space and Innovation Hub for; Startups, Entrepreneurs, Freelancers and Independents",Mixed,Private,Incubator,http://www.gizmolabs.ca,298 Dundas St. W,Level3 ,Toronto,Ontario,M5T 1G2 ,,,,(416)-887-6683 ,info@gizmolabs.ca 
HIGHLINE,"HIGHLINE is a global VC-backed accelerator platform that helps digital startups supercharge growth and raise institutional capital. Derived from the Extreme Startups-GrowLab Ventures merger, HIGHLINE gives founders Speed to Seed"" through specialized accelerator products timely staged investments (up to $200K) and growth connectivity in global markets starting in four cities including Toronto",Mixed,"Information, Communications and Technology",Accelerator,http://www.HIGHLINE.vc,639 Queen Street,,Toronto,Ontario,M5V 2B7,Managing Director,Marcus,Daniels,,speedtoseed@HIGHLINE.vc
Humber College - HumberLaunch,"HumberLaunch is an extension of Humber Research and Innovation at Humber College. Our mission is to provide Humber students and alumni with the environment and resources to cultivate innovative ideas into successful business ventures. We do this by offering Humber entrepreneurs funding, mentorship, coaching, resources, business development, one-on-one assistance and meeting facilities.; ; If you are a Humber student or alumni who has an innovative business idea, and if you are seeking to seriously pursue, it please contact us at humberlaunch@humber.ca.",Mixed,Academia,Incubator,http://www.humber.ca/humberlaunch/,3180 Lake Shore Blvd W.  ,,Toronto,Ontario,M8V 1L7,Program Manager ,Cheryl ,Mitchell,,cheryl.mitchell@humber.ca 
ideaBOOST Canadian Film Centre,"ideaBOOST is a business accelerator with a difference -- a bootcamp for companies that want to navigate an entertainment ecosystem that has been radically disrupted by new technologies and demanding audience expectations.  Companies selected to participate in ideaBOOST get the budget, tools, training, and mentorship designed to help bring their product to market and improve their chances of success with audiences, investors, and partners.;  ideaBOOST employs the best practices from teaches lean startup movement and other disciplines. The goal is to help companies navigate the entertainment and technology startup market, sharpen their product vision, and refine their strategies to target audiences and generate sustainable revenues.  ideaBOOST has assembled some of the best minds in the entertainment, media, advertising, business, and technology worlds as mentors, domain experts, and advisors. Each ideaBOOST company is given the opportunity to learn from this select group of top leaders and entrepreneurs and to forge business relationships that address key company needs.",Creative,Not-for-profit,Incubator,http://www.ideaboost.ca/,101 College Street   ,Suite 245,Toronto,Ontario,M5G 1L7,Chief Digital Officer ,Ana,Serrano,,aserrano@cfccreates.com 
Imagination Catalyst OCADU,"The Imagination Catalyst is OCAD U's entrepreneurship and commercialization hub.  Our mission is to help OCAD U entrepreneurs launch new enterprises or commercialize their designs, products and services, as well as play a strong supporting role in the creation of a deep, collaboratively oriented entrepreneurship culture across campus.  Our vision is to play a leadership role in the effort to unite, mobilize and focus the power of the cultural industries, creativity, scholarship and smart entrepreneurship in solving the most pressing social and environmental issues of our time. In so doing, we hope to unleash new basis for economic growth and development.  What we do  First, our doors are open support the OCAD U and local communities with questions about starting a business or venture at any time. If you're considering starting an enterprise of any size or type, consider making us your first stop.  We also currently offer the following: 1.A one year, experiential entrepreneurship program and incubator called Take It to Market; 2.Seminars, lectures and entrepreneurship-oriented events that are open to the OCAD U and local communities; and 3.Guest-lecture support to any OCAD U faculty members looking to include entrepreneurship or commercialization in their course offerings.  What is the Take-It-to-Market incubator?  The Take-It-to-Market incubator is our marquee offering.  It is an intensive program designed to help those ready to launch their enterprise or commercialize their research within the year. Participants compete to be accepted into the program. If accepted, they commit to working on their venture intensively for up to one year. Participants are provided with work space plus relevant business education, skills training, one-on-one personal and business development coaching and, most importantly, access to an experienced, accredited pool of investors and advisers, who can provide further support, guidance and access to venture funding. We also offer access to OCAD U studios for prototyping, legal formation and IP/patent process assistance, plus extended student benefits during the Imagination Catalyst year.  Participants are supported by our experienced Entrepreneur-in-Residence and expert mentor team.","Information, Communications and Technology",Academia,Incubator,http://www.ocadu.ca/research/imaginationcatalyst.htm,100 McCaul Street  ,,Toronto,Ontario, M5T 1W1,"Director, Digital Futures Implementation   ",Monica, Contreras,,mcontreras@ocadu.ca 
Incubes Accelerator,"The INcubes Funnel Program is an early-stage program for entrepreneurs / companies with powerful ideas that are premature for the acceleration program. It is designed around core product and business deliverables, which upon completion graduate the company into the Acceleration Program. Time to completion is flexible since companies enter acceleration on a rolling basis.; ; The INcubes Acceleration Program is a highly-focused, hands-on, intensive program designed to help companies engage customers and investors early and effectively. INcubes guides its startups through a customized curriculum of due-diligence deliverables with a process and culture that is very different from other accelerators.","Information, Communications and Technology",Private,Accelerator,http://www.incubes.ca,70 Peter Street ,,Toronto,Ontario,M5V 1J9,CEO ,Ben,Zlotnick ,,ben@incubes.ca
Innovation York-York University,"Innovation York is the commercialization and industry liaison office for York University. The unit provides services to faculty members, trainees, and industry within four service streams: agreements, industry liaison, commercialization, and entrepreneurship. Innovation York’s goal is to provide an integrated suite of services to the York research community, in order to facilitate research, realize the commercial, economic, and social potential of research outcomes, and to create a culture of industry-engaged scholarship and entrepreneurship.; ",Mixed,Academia,Incubator,http://www.innovationyork.ca,4700 Keele Street,"Kaneff Tower, Fifth Floor",Toronto,Ontario,M3J 1P3,Director,Sarah,Howe,(416) 736 2100 ,showe@yorku.ca
Italian Chamber of Commerce (ICCO),"Among its many tasks, the ICCO works as a consultant for a number of local and regional governmental agencies in Canada and Italy, as well as in the field of commercial mediation. Knowledgeable in Canada’s GROWING market, the ICCO’s staff puts its services at the disposal of Italian companies that are seeking to expand in the local market, researching specific industrial sectors and arranging meetings with potential investors.; ; As keen promoter of the thriving Canadian business market, the ICCO is also a founding member of the Greater Toronto Business Alliance (Federation of Portuguese Business and Professionals, Indo-Canada Chamber of Commerce, Italian Chamber of Commerce of Ontario and Toronto Chinese Business Association). In addition, the ICCO is also a co-founding member of the European Union Chamber of Commerce in Canada (EUCCAN).",Mixed,Not-for-profit,Incubator,http://www.italchambers.ca,622 College Street ,,Toronto,Ontario, M6G 1B6, Executive Director Italian Chamber of Commerce,Corrado, Paina,,paina@italchambers.ca
Kinetic Café,"We help forward-thinking enterprises & disruptive startups challenge convention, imagine new possibilities & successfully bring meaningful products, services & experiences to the market that meet the needs of today's connected consumer. We do this by coupling world-class strategy & design capabilities with the deep technology & production expertise needed, in-house to bring ideas to life.","Information, Communications and Technology",Private,Incubator,http://www.kineticcafe.com,1 Yonge St,Suite 934,Toronto,Ontario,M5E 1E5,Co-Founder,Chris ,Carter ,,info@kineticcafe.com
Launch 180 Accelerator,"We want to work with early stage companies – right from the idea stage. We are not the right partner for all start-ups, but we think we’re a great partner for a select sub-segment of the GTA start-up market.  Our ability to add value cuts across a number of industry vertical categories. We look for start-ups and ideas that represent a unique solution to a highly defined business problem with significant value implications across a number of vertical categories (Retail, Sales and Marketing, Supply Chain, Travel/Hospitality, Entertainment).  We assess opportunities on the basis of the Founder/Team and their proposed business problem/solution set and the match to the skills, experience, and network of our advisors. More precisely we look for strong business generalists with a strong business problem / market focus and skills across marketing, systems, strategy, finance and not just technology.  Founders generally have 3 sources of capital:  - They can invest or raise capital (in order of founder sweat equity and capital, friends/family, angels) - They can generate revenue, and/or - They can spend less money  Our focus is on the latter two. To help start-ups achieve first revenue within 180 days, but perhaps even more importantly to  spend substantially less money in their initial start-up phase.  By addressing first revenue and expenditure issues in a very focused fashion we hope to fundamentally change the fund raising paradigm for our start-ups.  We are not organized around a cohort schedule rather are open to submissions on an ongoing basis. You can send us your business plan or deck or just book to meet us for a coffee.  So please contact us.",Mixed,Not-for-profit,Accelerator,http://www.launch180.com,51 Wolseley Street  ,,Toronto,Ontario,M5T 1S1,,,,+1 888 840-6668,
Mantella Venture Partners ,"Mantella Venture Partners is a venture capital partnership formed to invest in exceptional entrepreneurs, building market-altering mobile and Internet software businesses. MVP invests up to $500,000 at inception, with the ability to support subsequent rounds as required. We invest alone, or alongside other value-added venture and angel investors that share the belief that founder/investor alignment is key to building successful companies and profitable exits. Our portfolio companies benefit from active, hands-on involvement in all phases of growth, including business development, marketing, financing, and team development.;","Information, Communications and Technology",Private,Accelerator,http://www.mantellavp.com,488 Wellington St West,,Toronto,Ontario, M5V 1E3,,,,416-479-0779,info@mantellavp.com
MaRS Discovery District,"Located in the heart of downtown Toronto, MaRS Discovery District is one of the world's largest urban innovation hubs. MaRS helps entrepreneurs in the ICT, cleantech and health sectors launch, grow and scale the innovative companies that are building our future — startup ventures with broad economic and societal impact.; ;  Education Starting a business? Start at MaRS. We offer a full range of free entrepreneurship education programs and online resources — structured, practical learning tools that entrepreneurs around the globe have accessed and applied while starting and building their ventures.; ;  Expert advice and mentorship; ;  MaRS works with high-impact, growth-oriented startups. We offer our clients a range of services that help them take their business to the next level, all at no cost to them. Our advisors are seasoned entrepreneurs and business leaders with global reach, providing tailored, expert advice and industry insights on a range of topics, including:  business and product development, financing and capital structure, corporate strategy, marketing and go-to-market strategy, and pitching.; ;  Connections; ;  Our team of industry insiders provides referrals, introductions and key pitch opportunities for qualified ventures. Through our network, we also offer access to the funders, customers, partners and talent required to help ventures grow and scale.; ;  Funding; ;  Early-stage capital can be critical to a venture’s success. MaRS offers a range of products and services to help entrepreneurs find the funding they need to grow their business.",Mixed Bio-Medical,Not-for-profit,Accelerator,http://www.marsdd.com,101 College Street,Suite 100 - South Tower,Toronto,Ontario,M5G 1L7,"Director, Strategic Partnerships",Earl,Miller,,emiller@marsdd.com
Mobile Experience Innovation Centre (MEIC),"The Mobile Experience Innovation Centre is a not-for-profit association that supports design leadership, experience innovation and applied research in Canada's mobile and wireless industries.; ; Since its founding in 2007 by OCAD University, The Mobile Experience Innovation Centre (MEIC) has grown from a mobile sector strategy and lobbying initiative to Canada’s only organization focusing on design leadership, sector growth and integration, and innovation in mobile content, services and computing. MEIC offers a membership program to serve clients and partners alike. Its Board of Directors includes international businesses such as Microsoft and IBM, Canadian strategic companies such as RBC Royal Bank and GestureTek, public sector entities, SMEs, associations, universities, and colleges. Its wider membership includes all major mobile associations and a wide array of mobile industry partners.; ; MEIC focuses on supporting start-ups and early-stage entrepreneurs, research commercialization, and national and international advocacy on behalf of Canadian companies, creating a strong framework in a fragmented industry.; ; MEIC offers programs that work with SMEs, researchers and NGOs in Canada and abroad for the purposes of partnership, collaboration, research and business development.  All programs are designed to encourage research commercialization and business growth to Canadian SMEs, corporations and academic institutions. MEIC also hosts conferences, workshops and partners with other organizations to deliver quality and relevant events.For more information about our work, please see About.; ; Past research success include the first iteration of the Applied Research and Prototyping Program which resulted in 22 projects with Ontario-based SMEs and academic institutions over 18 months, the development and delivery of Innovation and Insight: Mapping Ontario’s Mobile Industry.","Information, Communications and Technology",Not-for-profit,Incubator,http://www.meic.ca,205 Richmond St West ,"2nd Floor, Room 7211 ",Toronto,Ontario, M5V 1V3,Director,Patricia,McCuthcheon,,patricia@meic.ca  
MultiplicityTO,"Accelerates the growth of early-stage technology businesses focused on software, internet and digital media.; ","Information, Communications and Technology",Not-for-profit,Accelerator,http://www.multiplicityaccelerator.com/,105 Victoria Street ,Suite 909,Toronto,Ontario,M5C 3B4,Co-founder ,Rajah,Lehal,,rlehal@multiplicityaccelerator.com
oneeleven,"We are a community of data-driven entrepreneurs.; ; By convening a network of venture capital, industry, academia and government, we are bridging the gap between research and commercialization; supporting the development of solutions to highly complex data problems; ","Information, Communications and Technology",Not-for-profit,Incubator,http://www.oneeleven.com,111 Richmond Street West    ,,Toronto,Ontario,M5H 3K6, Managing Director,Bilal,Khan,,Bilal@oneeleven.com
Ontario Centre of Excellence (OCE),"Ontario Centres of Excellence (OCE) drives the development of Ontario’s economy by helping create new jobs, products, services, technologies and businesses. Our comprehensive program suite covers almost all stages of business development and career advancement. In partnership with industry, OCE co-invests to commercialize innovation originating in the province’s publicly funded colleges, universities and research hospitals. We also support and invest in early-stage projects, where the probability of commercial success and potential total return on innovation are substantial. Another expanding focus for OCE is the development of the next generation of innovators through our entrepreneurship fellowships and programs for students and youth across Ontario. Our efforts are focused on sectors of the economy with the greatest potential to drive Ontario’s future prosperity and global competitiveness: energy and environment (including water); advanced manufacturing; advanced health technologies; and information, communications technologies and digital media. A trusted partner of government in program delivery, we are committed to advancing a whole-of-government approach as a means of streamlining funding application processes for companies and entrepreneurs - See more at: http://oce-ontario.org/about-us#sthash.pdvym5IC.dpuf; ","Information, Communications and Technology",Public,Incubator,http://www.oce-ontario.org,156 Front Street West ,Suite 200   ,Toronto,Ontario,M5J 2L6,Business Development Manager,Martin,Lord,,"martin.lord@oce-ontario.org   """""
Rogers Ventures,"Rogers Venture Partners (“RVP”) was established in 2012 as a newly minted $150M venture capital fund headquartered in Palo Alto. The RVP team brings a wealth of global operating and investing experience. At RVP, every one of the partners has an operating background and, most importantly, all came from the high tech industry. As a result, our partners are deeply rooted in the operating ecosystem, allowing portfolio companies to better develop key partnerships and establish meaningful customer contracts. We look to take active roles within each portfolio company and are committed to working towards a common vision of revolutionizing the status quo.; ",Mixed,Private,Accelerator,http://www.rogersvp.com/,350 Bloor Street East,,Toronto,Ontario,M4W 0A1,Vice President,Mike ,Lee,,contact@rogersventures.com
Round 13 Capital,"Round 13 is all about building great companies. We seek breakout potential, lead by passionate entrepreneurs committed to creating the next big thing.  But how to do it?  Money is key but equally critical is the right strategy after the initial success of developing a great product. Too many achieve this milestone but can’t meet the next challenge of building a world-class operating company.  Our team of done-it-before entrepreneurs and best-of breed domain experts can make the difference between success and failure, or even more exciting between an OK success and blockbuster status.  We are Canada’s first and only investor to draw upon the skills and networks of the most successful entrepreneurs. We were fussy in our choice of players. Relationships are core as is a winning culture. Without shared values, the odds of greatness are cut way down.  Our founders are proven builders with the passion and skills to fast track our companies. Finding the right people and right networks are all part of what we offer – if global success and massive shareholder wealth are part of your dreams.  Yes, we will selectively look at early stage companies but our real value is with companies that have proven market demand and now need ramp-up capital.  Passionate entrepreneurs with more than just a great idea together with the money and experience we bring is what it is all about.","Information, Communications and Technology",Private,Accelerator,http://www.round13capital.com,51 Mill Street,Suite 301,Toronto,Ontario,M5A 3C4,Entrepreneur,Bruce ,Croxon,,contact@round13capital.com
Ryerson University - Centre for Urban Energy,"The Innovation Centre for Urban Energy (iCUE) is a business incubator and accelerator focused on urban energy. The purpose is to assist young businesses turn their urban energy ideas into commercially viable products, services, and/or technologies. The iCUE was officially launched in November of 2012, and is housed within Ryerson University’s Centre for Urban Energy (CUE).  Among the primary goals of the iCUE are research innovation (applied research in collaboration with industry); business innovation (entrepreneurship); and student innovation (experiential learning). It supports the innovation process between ideation and technology development.",Environment,Academia,Incubator,http://www.cue.ryerson.ca,147 Dalhousie Street,,Toronto,Ontario, M5B 2M7,Director,Bala,Venkatesh ,,bala@ryerson.ca
Ryerson University - Design Fabrication Zone,"Ryerson Design Fabrication Zone (DFZ) is an interdisciplinary hub for design/fabrication innovation and entrepreneurship at Ryerson University. A joint venture between the Department of Architectural Science and the School of Interior Design, DFZ facilitates incubation and acceleration of ideas and strategically propels design learning and 3D production towards construction and/or business innovation.  The zone fosters rich networking opportunities for student-driven initiatives through mentorship, workshops, strategic partnerships and cross-disciplinary collaboration. The DFZ offers access to traditional and digital fabrication technologies (rapid prototyping, CNC and CAD/CAM) enabling members to prototype and model ideas in order to test, evaluate and realize design concepts.","Information, Communications and Technology",Academia,Incubator,http://dfz.ryerson.ca/,350 Victoria St,,Toronto,Ontario,M5B 2K3,,Johanna,Vandermaas,,johanna.vandermaas@ryerson.ca
